Category,Winner or Nominee,Film Name,Nominee Names
Actor in a Leading Role,Winner,Oppenheimer,Cillian Murphy
Actor in a Leading Role,Nominee,Maestro,Bradley Cooper
Actor in a Leading Role,Nominee,Rustin,Colman Domingo
Actor in a Leading Role,Nominee,The Holdovers,Paul Giamatti
Actor in a Leading Role,Nominee,American Fiction,Jeffrey Wright
Actor in a Supporting Role,Winner,Oppenheimer,Robert Downey Jr.
Actor in a Supporting Role,Nominee,American Fiction,Sterling K. Brown
Actor in a Supporting Role,Nominee,Killers of the Flower Moon,Robert De Niro
Actor in a Supporting Role,Nominee,Barbie,Ryan Gosling
Actor in a Supporting Role,Nominee,Poor Things,Mark Ruffalo
Actress in a Leading Role,Winner,Poor Things,Emma Stone
Actress in a Leading Role,Nominee,Nyad,Annette Bening
Actress in a Leading Role,Nominee,Killers of the Flower Moon,Lily Gladstone
Actress in a Leading Role,Nominee,Anatomy of a Fall,Sandra Hüller
Actress in a Leading Role,Nominee,Maestro,Carey Mulligan
Actress in a Supporting Role,Winner,The Holdovers,Da'Vine Joy Randolph
Actress in a Supporting Role,Nominee,Oppenheimer,Emily Blunt
Actress in a Supporting Role,Nominee,The Color Purple,Danielle Brooks
Actress in a Supporting Role,Nominee,Barbie,America Ferrera
Actress in a Supporting Role,Nominee,Nyad,Jodie Foster
Animated Feature Film,Winner,The Boy and the Heron,Hayao Miyazaki and Toshio Suzuki
Animated Feature Film,Nominee,Elemental,Peter Sohn and Denise Ream
Animated Feature Film,Nominee,Nimona,"Nick Bruno, Troy Quane, Karen Ryan and Julie Zackary"
Animated Feature Film,Nominee,Robot Dreams,"Pablo Berger, Ibon Cormenzana, Ignasi Estapé and Sandra Tapia Díaz"
Animated Feature Film,Nominee,Spider-Man: Across the Spider-Verse,"Kemp Powers, Justin K. Thompson, Phil Lord, Christopher Miller and Amy Pascal"
Cinematography,Winner,Oppenheimer,Hoyte van Hoytema
Cinematography,Nominee,El Conde,Edward Lachman
Cinematography,Nominee,Killers of the Flower Moon,Rodrigo Prieto
Cinematography,Nominee,Maestro,Matthew Libatique
Cinematography,Nominee,Poor Things,Robbie Ryan
Costume Design,Winner,Poor Things,Holly Waddington
Costume Design,Nominee,Barbie,Jacqueline Durran
Costume Design,Nominee,Killers of the Flower Moon,Jacqueline West
Costume Design,Nominee,Napoleon,Janty Yates and Dave Crossman
Costume Design,Nominee,Oppenheimer,Ellen Mirojnick
Directing,Winner,Oppenheimer,Christopher Nolan
Directing,Nominee,Anatomy of a Fall,Justine Triet
Directing,Nominee,Killers of the Flower Moon,Martin Scorsese
Directing,Nominee,Poor Things,Yorgos Lanthimos
Directing,Nominee,The Zone of Interest,Jonathan Glazer
Documentary Feature Film,Winner,20 Days in Mariupol,"Mstyslav Chernov, Michelle Mizner and Raney Aronson-Rath"
Documentary Feature Film,Nominee,Bobi Wine: The People's President,"Moses Bwayo, Christopher Sharp and John Battsek"
Documentary Feature Film,Nominee,The Eternal Memory,Maite Alberdi
Documentary Feature Film,Nominee,Four Daughters,Kaouther Ben Hania and Nadim Cheikhrouha
Documentary Feature Film,Nominee,To Kill a Tiger,"Nisha Pahuja, Cornelia Principe and David Oppenheim"
Documentary Short Film,Winner,The Last Repair Shop,Ben Proudfoot and Kris Bowers
Documentary Short Film,Nominee,The ABCs of Book Banning,Sheila Nevins and Trish Adlesic
Documentary Short Film,Nominee,The Barber of Little Rock,John Hoffman and Christine Turner
Documentary Short Film,Nominee,Island in Between,S. Leo Chiang and Jean Tsien
Documentary Short Film,Nominee,Nǎi Nai & Wài Pó,Sean Wang and Sam Davis
Film Editing,Winner,Oppenheimer,Jennifer Lame
Film Editing,Nominee,Anatomy of a Fall,Laurent Sénéchal
Film Editing,Nominee,The Holdovers,Kevin Tent
Film Editing,Nominee,Killers of the Flower Moon,Thelma Schoonmaker
Film Editing,Nominee,Poor Things,Yorgos Mavropsaridis
International Feature Film,Winner,The Zone of Interest,United Kingdom
International Feature Film,Nominee,Io Capitano,Italy
International Feature Film,Nominee,Perfect Days,Japan
International Feature Film,Nominee,Society of the Snow,Spain
International Feature Film,Nominee,The Teachers' Lounge,Germany
Makeup and Hairstyling,Winner,Poor Things,"Nadia Stacey, Mark Coulier and Josh Weston"
Makeup and Hairstyling,Nominee,Golda,"Karen Hartley Thomas, Suzi Battersby and Ashra Kelly-Blue"
Makeup and Hairstyling,Nominee,Maestro,"Kazu Hiro, Kay Georgiou and Lori McCoy-Bell"
Makeup and Hairstyling,Nominee,Oppenheimer,Luisa Abel
Makeup and Hairstyling,Nominee,Society of the Snow,"Ana López-Puigcerver, David Martí and Montse Ribé"
Music (Original Score),Winner,Oppenheimer,Ludwig Göransson
Music (Original Score),Nominee,American Fiction,Laura Karpman
Music (Original Score),Nominee,Indiana Jones and the Dial of Destiny,John Williams
Music (Original Score),Nominee,Killers of the Flower Moon,Robbie Robertson
Music (Original Score),Nominee,Poor Things,Jerskin Fendrix
Music (Original Song),Winner,Barbie,What Was I Made For?
Music (Original Song),Nominee,Flamin' Hot,The Fire Inside
Music (Original Song),Nominee,Barbie,I'm Just Ken
Music (Original Song),Nominee,American Symphony,It Never Went Away
Music (Original Song),Nominee,Killers of the Flower Moon,Wahzhazhe (A Song For My People)
Best Picture,Winner,Oppenheimer,"Emma Thomas, Charles Roven and Christopher Nolan, Producers"
Best Picture,Nominee,American Fiction,"Ben LeClair, Nikos Karamigios, Cord Jefferson and Jermaine Johnson, Producers"
Best Picture,Nominee,Anatomy of a Fall,"Marie-Ange Luciani and David Thion, Producers"
Best Picture,Nominee,Barbie,"David Heyman, Margot Robbie, Tom Ackerley and Robbie Brenner, Producers"
Best Picture,Nominee,The Holdovers,"Mark Johnson, Producer"
Best Picture,Nominee,Killers of the Flower Moon,"Dan Friedkin, Bradley Thomas, Martin Scorsese and Daniel Lupi, Producers"
Best Picture,Nominee,Maestro,"Bradley Cooper, Steven Spielberg, Fred Berner, Amy Durning and Kristie Macosko Krieger, Producers"
Best Picture,Nominee,Past Lives,"David Hinojosa, Christine Vachon and Pamela Koffler, Producers"
Best Picture,Nominee,Poor Things,"Ed Guiney, Andrew Lowe, Yorgos Lanthimos and Emma Stone, Producers"
Best Picture,Nominee,The Zone of Interest,"James Wilson, Producer"
Production Design,Winner,Poor Things,Production Design: James Price and Shona Heath; Set Decoration: Zsuzsa Mihalek
Production Design,Nominee,Barbie,Production Design: Sarah Greenwood; Set Decoration: Katie Spencer
Production Design,Nominee,Killers of the Flower Moon,Production Design: Jack Fisk; Set Decoration: Adam Willis
Production Design,Nominee,Napoleon,Production Design: Arthur Max; Set Decoration: Elli Griff
Production Design,Nominee,Oppenheimer,Production Design: Ruth De Jong; Set Decoration: Claire Kaufman
Animated Short Film,Winner,WAR IS OVER! Inspired by the Music of John & Yoko,Dave Mullins and Brad Booker
Animated Short Film,Nominee,Letter to a Pig,Tal Kantor and Amit R. Gicelter
Animated Short Film,Nominee,Ninety-Five Senses,Jerusha Hess and Jared Hess
Animated Short Film,Nominee,Our Uniform,Yegane Moghaddam
Animated Short Film,Nominee,Pachyderme,Stéphanie Clément and Marc Rius
Live Action Short Film,Winner,The Wonderful Story of Henry Sugar,Wes Anderson and Steven Rales
Live Action Short Film,Nominee,The After,Misan Harriman and Nicky Bentham
Live Action Short Film,Nominee,Invincible,Vincent René-Lortie and Samuel Caron
Live Action Short Film,Nominee,Knight of Fortune,Lasse Lyskjær Noer and Christian Norlyk
Live Action Short Film,Nominee,"Red, White and Blue",Nazrin Choudhury and Sara McFarlane
Sound,Winner,The Zone of Interest,Tarn Willers and Johnnie Burn
Sound,Nominee,The Creator,"Ian Voigt, Erik Aadahl, Ethan Van der Ryn, Tom Ozanich and Dean Zupancic"
Sound,Nominee,Maestro,"Steven A. Morrow, Richard King, Jason Ruder, Tom Ozanich and Dean Zupancic"
Sound,Nominee,Mission: Impossible - Dead Reckoning Part One,"Chris Munro, James H. Mather, Chris Burdon and Mark Taylor"
Sound,Nominee,Oppenheimer,"Willie Burton, Richard King, Gary A. Rizzo and Kevin O'Connell"
Visual Effects,Winner,Godzilla Minus One,"Takashi Yamazaki, Kiyoko Shibuya, Masaki Takahashi and Tatsuji Nojima"
Visual Effects,Nominee,The Creator,"Jay Cooper, Ian Comley, Andrew Roberts and Neil Corbould"
Visual Effects,Nominee,Guardians of the Galaxy Vol. 3,"Stephane Ceretti, Alexis Wajsbrot, Guy Williams and Theo Bialek"
Visual Effects,Nominee,Mission: Impossible - Dead Reckoning Part One,"Alex Wuttke, Simone Coco, Jeff Sutherland and Neil Corbould"
Visual Effects,Nominee,Napoleon,"Charley Henley, Luc-Ewen Martin-Fenouillet, Simone Coco and Neil Corbould"
Writing (Adapted Screenplay),Winner,American Fiction,Written for the screen by Cord Jefferson
Writing (Adapted Screenplay),Nominee,Barbie,Written by Greta Gerwig & Noah Baumbach
Writing (Adapted Screenplay),Nominee,Oppenheimer,Written for the screen by Christopher Nolan
Writing (Adapted Screenplay),Nominee,Poor Things,Screenplay by Tony McNamara
Writing (Adapted Screenplay),Nominee,The Zone of Interest,Written by Jonathan Glazer
Writing (Original Screenplay),Winner,Anatomy of a Fall,Screenplay - Justine Triet and Arthur Harari
Writing (Original Screenplay),Nominee,The Holdovers,Written by David Hemingson
Writing (Original Screenplay),Nominee,Maestro,Written by Bradley Cooper & Josh Singer
Writing (Original Screenplay),Nominee,May December,Screenplay by Samy Burch; Story by Samy Burch & Alex Mechanik
Writing (Original Screenplay),Nominee,Past Lives,Written by Celine Song
